user,timestamp,x-axis,y-axis,z-axis,activity
1,4.99E+12,0.69,10.8,-2.03,Walking
1,4.99E+12,6.85,7.44,-0.5,Walking
1,4.99E+12,0.93,5.63,-0.5,Walking
1,4.99E+12,-2.11,5.01,-0.69,Walking
1,4.99E+12,-4.59,4.29,-1.95,Walking
1,4.99E+12,12.41,11.18,7.82,Walking
1,4.99E+12,17.27,11.6,5.94,Walking
1,4.99E+12,1.42,8.43,-5.28,Walking
1,4.99E+12,-2.68,15.89,-0.38,Walking
1,4.99E+12,-1.38,9.92,-1.99,Walking
1,4.99E+12,1.57,10.46,-0.91,Walking
1,4.99E+12,4.02,9.81,-1.61,Walking
1,4.99E+12,4.94,7.59,-1.65,Walking
1,4.99E+12,4.75,7.21,-1.18,Walking
1,4.99E+12,3.34,7.31,-0.42,Walking
1,4.99E+12,2.6,9.19,-1.08,Walking
1,4.99E+12,7.31,12.07,1.23,Walking
1,4.99E+12,8.43,10.76,1.14,Walking
1,4.99E+12,10.53,12.03,3.68,Walking
1,4.99E+12,6.66,11.92,1.14,Walking
1,4.99E+12,2.49,17.86,-2.83,Walking
1,4.99E+12,-1.12,16.4,-5.6,Walking
1,4.99E+12,0,8.2,-0.76,Walking
1,4.99E+12,7.16,3.57,-0.72,Walking
1,4.99E+12,-0.8,4.29,-1.27,Walking
1,4.99E+12,-5.13,4.14,-1.95,Walking
1,4.99E+12,-3.17,7.74,4.71,Walking
1,4.99E+12,19.57,16.44,4.21,Walking
1,4.99E+12,7.08,5.09,-0.76,Walking
1,4.99E+12,0.15,16.13,-2.83,Walking
1,4.99E+12,-1.99,8.89,-3.98,Walking
1,4.99E+12,0.65,11.8,-1.12,Walking
1,4.99E+12,3.49,10.57,-1.33,Walking
1,4.99E+12,4.18,8.05,-1.33,Walking
1,4.99E+12,2.98,5.9,-2.22,Walking
1,4.99E+12,2.07,8.12,-2.3,Walking
1,4.99E+12,4.29,10.04,3.06,Walking
1,4.99E+12,6.74,10.88,-0.57,Walking
1,4.99E+12,10.92,11.11,2.91,Walking
1,4.99E+12,9.51,12.22,2.76,Walking
1,4.99E+12,4.52,14.25,-1.5,Walking
1,4.99E+12,2.91,15.64,-4.21,Walking
1,4.99E+12,2.49,15.09,-5.33,Walking
1,4.99E+12,2.34,8.69,0.27,Walking
1,4.99E+12,0.99,3.95,-1.5,Walking
1,4.99E+12,-2.18,2.49,-1.33,Walking
1,4.99E+12,-6.66,4.52,-3.26,Walking
1,4.99E+12,10.61,10.57,10.88,Walking
1,4.99E+12,17.43,14.56,6.51,Walking
1,5.10E+12,0.15,19.08,-4.29,Walking
1,5.10E+12,-3.87,17.43,-2.87,Walking
1,5.10E+12,-3.95,9.38,-1.84,Walking
1,5.10E+12,3.68,2.07,-0.99,Walking
1,5.10E+12,-2.07,2.45,-2.11,Walking
1,5.10E+12,-9,2.3,-2.22,Walking
1,5.10E+12,10.31,14.56,6.09,Walking
1,5.10E+12,12.18,15.09,2.96,Walking
1,5.10E+12,-3.21,4.86,1.5,Walking
1,5.10E+12,-1.57,18.7,-6.32,Walking
1,5.10E+12,-1.99,9.51,-3.49,Walking
1,5.10E+12,-0.69,9.89,-1.18,Walking
1,5.10E+12,0.69,9.43,-1.27,Walking
1,5.10E+12,2.37,5.86,-0.8,Walking
1,5.10E+12,2.87,6.47,-1.38,Walking
1,5.10E+12,3.34,12.68,2.64,Walking
1,5.10E+12,4.67,10.27,-0.5,Walking
1,5.10E+12,7.93,12.53,1.12,Walking
1,5.10E+12,12.22,13.02,3.79,Walking
1,5.10E+12,5.75,13.8,0.89,Walking
1,5.10E+12,0.23,19.5,-4.4,Walking
1,5.10E+12,-5.56,16.97,-2.26,Walking
1,5.10E+12,-5.01,8.01,-2.87,Walking
1,5.10E+12,3.91,0.8,-1.33,Walking
1,5.10E+12,-1.57,1.42,-1.8,Walking
1,5.10E+12,-8.81,2.76,-3.45,Walking
1,5.10E+12,10.23,16.25,6.74,Walking
1,5.10E+12,12.22,14.71,1.38,Walking
1,5.10E+12,0,6.32,-0.27,Walking
1,5.10E+12,-2.96,16.78,-3.76,Walking
1,5.10E+12,-3.02,10.23,-2.83,Walking
1,5.10E+12,-0.8,11.11,-1.27,Walking
1,5.10E+12,1.46,10.15,-1.5,Walking
1,5.10E+12,2.49,6.02,-1.14,Walking
1,5.10E+12,2.45,5.33,-0.91,Walking
1,5.10E+12,2.11,11.18,-0.84,Walking
1,5.10E+12,5.48,10.57,2.64,Walking
1,5.10E+12,8.08,14.86,1.65,Walking
1,5.10E+12,10.84,12.11,3.57,Walking
1,5.10E+12,4.18,13.02,-0.15,Walking
1,5.10E+12,-0.61,19.53,-6.17,Walking
1,5.10E+12,-5.28,16.02,1.23,Walking
1,5.10E+12,0.99,3.41,-1.76,Walking
1,5.10E+12,0.38,1.31,-0.72,Walking
1,5.10E+12,-5.33,1.04,-2.79,Walking
